District District,Constituency #,Constituency Name,Winner Candidate,Winner Party,Winner Party.1,Winner Votes,Winner %,Runner-up Candidate,Runner-up Party,Runner-up Party.1,Runner-up Votes,Runner-up %,Margin Margin
Saharanpur,1,Behat,Naresh Saini,,INC,97035,38.66,Mahaveer Singh Rana,,BJP,71449,28.47,25586
Saharanpur,2,Nakur,Dharam Singh Saini,,BJP,94375,37.11,Imran Masood,,INC,90318,35.52,4057
Saharanpur,3,Saharanpur Nagar,Sanjay Garg,,SP,127210,46.8,Rajiv Gumber,,BJP,122574,45.09,4636
Saharanpur,4,Saharanpur,Masood Akhtar,,INC,87689,37.08,Jagpal Singh,,BSP,75365,31.87,12324
Saharanpur,5,Deoband,Brijesh Singh,,BJP,102244,43.79,Majid Ali,,BSP,72844,31.2,29400
Saharanpur,6,Rampur Maniharan (SC),Devendra Kumar Nim,,BJP,76465,35.08,Ravinder Kumar Molhu,,BSP,75870,34.81,595
Saharanpur,7,Gangoh,Pradeep Kumar,,BJP,99446,38.78,Nauman Masood,,INC,61418,23.95,38028
Shamli,8,Kairana,Nahid Hasan,,SP,98830,47.5,Mriganka Singh,,BJP,77668,37.33,21162
Shamli,9,Thana Bhawan,Suresh Rana,,BJP,90995,42.96,Abdul Warish Khan,,BSP,74178,35.02,16817
Shamli,10,Shamli,Tejendra Nirwal,,BJP,70085,35.86,Pankaj Kumar Malik,,INC,40365,20.65,29720
Muzaffarnagar,11,Budhana,Umesh Malik,,BJP,97781,40.77,Pramod Tyagi,,SP,84580,35.27,13201
Muzaffarnagar,12,Charthawal,Vijay Kumar Kashyap,,BJP,82046,39.84,Mukesh Kumar Chaudhary,,SP,58815,28.56,23231
Muzaffarnagar,13,Purqazi (SC),Pramod Utwal,,BJP,77491,38.14,Deepak Kumar,,INC,66238,32.6,11253
Muzaffarnagar,14,Muzaffarnagar,Kapil Dev Aggarwal,,BJP,97838,45.62,Gaurav Swarup Bansal,,SP,87134,40.63,10704
Muzaffarnagar,15,Khatauli,Vikram Singh Saini,,BJP,94771,44.62,Chandan Chauhan,,SP,63397,29.85,31374
Muzaffarnagar,16,Meerapur,Avtar Singh Bhadana,,BJP,69035,33.95,Liyakat Ali,,SP,68842,33.86,193
Bijnor,17,Najibabad,Tasleem,,SP,81082,37.81,Rajiv Kumar Agarwal,,BJP,79080,36.88,2002
Bijnor,18,Nagina (SC),Manoj Kumar Paras,,SP,77145,37.0,Omvati Devi,,BJP,69178,33.18,7967
Bijnor,19,Barhapur,Kunwar Sushant Singh,,BJP,78744,35.54,Husain Ahmad,,INC,68920,31.1,9824
Bijnor,20,Dhampur,Ashok Kumar Rana,,BJP,82169,42.81,Thakur Moolchand Chauhan,,SP,64305,33.5,17864
Bijnor,21,Nehtaur (SC),Om Kumar,,BJP,76644,41.0,Munnalal Premi,,INC,53493,28.62,23151
Bijnor,22,Bijnor,Suchi,,BJP,105548,43.16,Ruchi Veera,,SP,78267,32.01,27281
