District,Constituency,Constituency,Turnout,Winner,Winner,Winner,Winner,Winner,Runner-up,Runner-up,Runner-up,Runner-up,Runner-up,Margin
District,#,Name,%,Candidate,Party,Party.1,Votes,%,Candidate,Party,Party.1,Votes,%,Margin
Saharanpur,1.0,Behat,75.58,Umar Ali Khan,,SP,134513.0,47.81,Naresh Saini,,BJP,96633.0,34.34,37880.0
Saharanpur,2.0,Nakur,76.1,Mukesh Choudhary,,BJP,104114.0,38.47,Dharam Singh Saini,,SP,103799.0,38.35,315.0
Saharanpur,3.0,Saharanpur Nagar,66.08,Rajiv Gumber,,BJP,143195.0,48.85,Sanjay Garg,,SP,135761.0,46.32,7434.0
Saharanpur,4.0,Saharanpur,72.27,Ashu Malik,,SP,107007.0,41.18,Jagpal Singh,,BJP,76262.0,29.35,30745.0
Saharanpur,5.0,Deoband[117],69.1,Th. Brijesh Singh,,BJP,93890.0,38.77,Kartikeya Rana,,SP,86786.0,35.83,7104.0
Saharanpur,6.0,Rampur Maniharan (SC),71.71,Devendra Kumar Nim,,BJP,89109.0,38.37,Ravinder Kumar Molhu,,BSP,68516.0,29.5,20593.0
Saharanpur,7.0,Gangoh,70.07,Kirat Singh,,BJP,116582.0,43.08,Inder Sain,,SP,93133.0,34.42,23449.0
Shamli,8.0,Kairana,75.04,Nahid Hasan,,SP,131035.0,54.16,Mriganka Singh,,BJP,105148.0,43.46,25887.0
Shamli,9.0,Thana Bhawan,66.87,Ashraf Ali Khan,,RLD,103751.0,47.47,Suresh Rana,,BJP,92945.0,42.53,10806.0
Shamli,10.0,Shamli,67.62,Persann Kumar Chaudhary,,RLD,103070.0,48.86,Tejendra Nirwal,,BJP,95963.0,45.49,7107.0
Muzaffarnagar,11.0,Budhana,67.09,Rajpal Singh Baliyan,,RLD,131093.0,51.28,Umesh Malik,,BJP,102783.0,40.21,28310.0
Muzaffarnagar,12.0,Charthawal,67.68,Pankaj Kumar Malik,,SP,97363.0,43.82,Sapna Kashyap,,BJP,92029.0,41.42,5334.0
Muzaffarnagar,13.0,Purqazi (SC),65.85,Anil Kumar,,RLD,92672.0,43.09,Pramod Utwal,,BJP,86140.0,40.05,6532.0
Muzaffarnagar,14.0,Muzaffarnagar,62.89,Kapil Dev Aggarwal,,BJP,111794.0,49.57,Saurabh Swaroop,,RLD,93100.0,41.28,18694.0
Muzaffarnagar,15.0,Khatauli,69.79,Vikram Singh Saini,,BJP,100651.0,45.34,Rajpal Singh Saini,,RLD,84306.0,37.98,16345.0
Muzaffarnagar,16.0,Meerapur,68.88,Chandan Chauhan,,RLD,107421.0,49.57,Prashant Chaudhary,,BJP,80041.0,36.94,27380.0
Bijnor,17.0,Najibabad,67.1,Tasleem Ahmad,,SP,102675.0,44.14,Kunwar Bharatendu Singh,,BJP,78905.0,33.92,23770.0
Bijnor,18.0,Nagina (SC),64.36,Manoj Kumar Paras,,SP,97155.0,43.51,Dr. Yashwant,,BJP,70704.0,31.67,26451.0
Bijnor,19.0,Barhapur,67.05,Kunwar Sushant Singh,,BJP,100100.0,41.58,Kapil Kumar,,SP,85755.0,35.62,14345.0
Bijnor,20.0,Dhampur,67.82,Ashok Kumar Rana,,BJP,81791.0,39.89,Naeemul Hasan,,SP,81588.0,39.79,203.0
Bijnor,21.0,Nehtaur (SC),65.82,Om Kumar,,BJP,77935.0,38.98,Munshi Ram,,RLD,77677.0,38.86,258.0
Bijnor,22.0,Bijnor,64.52,Suchi Chaudhary,,BJP,97165.0,38.54,Neeraj Chaudhary,,RLD,95720.0,37.96,1445.0
Bijnor,23.0,Chandpur,68.86,Swami Omvesh,,SP,90522.0,40.34,Kamlesh Saini,,BJP,90288.0,40.24,234.0
Bijnor,24.0,Noorpur,65.94,Ram Avatar Singh,,SP,92574.0,43.27,Chandra Prakash Singh,,BJP,86509.0,40.43,6065.0
Moradabad,25.0,Kanth,70.11,Kamal Akhtar,,SP,134692.0,49.19,Rajesh Kumar Singh,,BJP,91514.0,33.42,43178.0
Moradabad,26.0,Thakurdwara,73.99,Nawab Jan,,SP,134391.0,48.76,Ajay Pratap Singh,,BJP,114706.0,41.62,19684.0
Moradabad,27.0,Moradabad Rural,64.65,Mohd Nasir Qureshi,,SP,114337.0,56.88,Krishnakant Mishra,,BJP,86517.0,34.34,27820.0
Moradabad,28.0,Moradabad Nagar,60.79,Ritesh Kumar Gupta,,BJP,148384.0,46.12,Mohd Yusuf Ansari,,SP,147602.0,45.88,782.0
Moradabad,29.0,Kundarki,71.4,Zia ur Rahman Barq,,SP,125792.0,46.28,Kamal Prajapati,,BJP,82630.0,30.4,43162.0
Moradabad,30.0,Bilari,66.49,Mohammed Faeem,,SP,95338.0,39.92,Parmeshwar Lal Saini,,BJP,87728.0,36.73,7610.0
Sambhal,31.0,Chandausi (SC),59.45,Gulabo Devi,,BJP,112890.0,49.53,Vimlesh Kumar,,SP,77523.0,34.01,35367.0
Sambhal,32.0,Asmoli,68.48,Pinki Singh Yadav,,SP,111652.0,42.92,Harendra Kumar,,BJP,86446.0,33.23,25206.0
Sambhal,33.0,Sambhal,64.47,Iqbal Mehmood,,SP,107073.0,43.73,Rajesh Singhal,,BJP,65376.0,26.7,41697.0
Rampur,34.0,Suar,69.34,Abdullah Azam Khan,,SP,126162.0,59.19,Haidar Ali Khan,,AD(S),65059.0,30.62,61103.0
Rampur,35.0,Chamraua,65.13,Naseer Ahmad Khan,,SP,100976.0,50.34,Mohan Kumar Lodhi,,BJP,66686.0,33.24,34290.0
Rampur,36.0,Bilaspur,68.34,Baldev Singh Aulakh,,BJP,101998.0,43.17,Amarjit Singh,,SP,101691.0,43.04,307.0
Rampur,37.0,Rampur,56.61,Azam Khan,,SP,131225.0,59.71,Akash Saxena,,BJP,76084.0,34.62,55141.0
Rampur,38.0,Milak (SC),63.57,Rajbala,,BJP,97948.0,43.11,Vijay Singh,,SP,92036.0,40.5,5912.0
Amroha,39.0,Dhanaura (SC),70.34,Rajeev Tarara,,BJP,103054.0,42.29,Vivek Singh,,SP,91629.0,37.6,11425.0
Amroha,40.0,Naugawan Sadat,74.49,Samarpal Singh,,SP,108497.0,44.38,Devender Nagpal,,BJP,101957.0,41.64,6540.0
Amroha,41.0,Amroha,71.44,Mehboob Ali,,SP,128735.0,57.43,Ram Singh,,BJP,57699.0,25.74,71036.0
Amroha,42.0,Hasanpur,73.84,Mahender Khadakvanshi,,BJP,120135.0,44.67,Mukhya Gurjar,,SP,97753.0,36.35,22382.0
Meerut,43.0,Siwalkhas,68.78,Ghulam Mohammed,,RLD,101749.0,43.52,Maninder Pal,,BJP,92567.0,39.61,9182.0
Meerut,44.0,Sardhana,67.22,Atul Pradhan,,SP,118573.0,48.75,Sangeet Som,,BJP,100373.0,41.27,18200.0
Meerut,45.0,Hastinapur (SC),66.84,Dinesh Khatik,,BJP,107587.0,46.72,Yogesh Verma,,SP,100275.0,43.55,7312.0
Meerut,46.0,Kithore,69.85,Shahid Manzoor,,SP,107104.0,42.19,Satyavir Tyagi,,BJP,104924.0,41.33,2180.0
Meerut,47.0,Meerut Cantt,56.84,Amit Agrawal,,BJP,162032.0,66.27,Manisha Ahlawat,,RLD,43960.0,17.98,118072.0
Meerut,48.0,Meerut,64.55,Rafiq Ansari,,SP,106395.0,52.77,Kamal Dutt Sharma,,BJP,80330.0,39.84,26065.0
Meerut,49.0,Meerut South,61.99,Somendra Tomar,,BJP,129667.0,43.46,Md Adil,,SP,121725.0,40.79,7942.0
Baghpat,50.0,Chhaprauli,62.28,Ajay Kumar,,RLD,111880.0,53.3,Sahender Singh,,BJP,82372.0,39.24,29508.0
Baghpat,51.0,Baraut,64.51,Krishnapal Malik,,BJP,90931.0,46.34,Ch. Jaiveer Singh Tomar,,RLD,90616.0,46.18,315.0
Baghpat,52.0,Baghpat,67.7,Chaudhary Yogesh Dhama,,BJP,101420.0,47.37,Mohd Ahmed Hameed,,RLD,94687.0,44.22,6733.0
Ghaziabad,53.0,Loni,61.41,Nand Kishor Gurjar,,BJP,127410.0,40.44,Madan Bhaiya,,RLD,118734.0,37.68,8676.0
Ghaziabad,54.0,Muradnagar,60.01,Ajit Pal Tyagi,,BJP,169290.0,61.63,Surendra Kumar,,RLD,72195.0,26.28,97295.0
Ghaziabad,55.0,Sahibabad,47.18,Sunil Kumar Sharma,,BJP,322882.0,67.03,Amarpal Sharma,,SP,108047.0,22.43,214835.0
Ghaziabad,56.0,Ghaziabad,51.75,Atul Garg,,BJP,150205.0,61.37,Vishal Verma,,SP,44668.0,18.25,105537.0
Ghaziabad,57.0,Modinagar,67.36,Manju Shiwach,,BJP,113349.0,50.63,Sudesh Sharma,,RLD,78730.0,35.17,34619.0
Hapur,58.0,Dhaulana,67.77,Dharmesh Singh Tomar,,BJP,125028.0,44.65,Aslam Ali,,SP,112400.0,40.14,12628.0
Hapur,59.0,Hapur (SC),66.92,Vijay Pal Aadthi,,BJP,97862.0,39.69,Gajraj Singh,,RLD,90828.0,36.84,7034.0
Hapur,60.0,Garhmukteshwar,67.72,Harendra Singh Tewatia,,BJP,104113.0,44.07,Ravindra Chaudhary,,SP,77807.0,32.94,26306.0
Gautam Buddha Nagar,61.0,Noida,48.77,Pankaj Singh,,BJP,244319.0,70.16,Sunil Choudhary,,SP,62806.0,18.04,181513.0
Gautam Buddha Nagar,62.0,Dadri,58.35,Tejpal Singh Nagar,,BJP,218068.0,61.64,Rajkumar Bhati,,SP,79850.0,22.57,138218.0
Gautam Buddha Nagar,63.0,Jewar,65.87,Dhirendra Singh,,BJP,117205.0,50.53,Avtar Singh Bhadana,,RLD,60890.0,26.25,56315.0
Bulandshahr,64.0,Sikandrabad,67.33,Lakshmi Raj Singh,,BJP,125644.0,46.0,Rahul Yadav,,SP,96301.0,35.26,29343.0
Bulandshahr,65.0,Bulandshahr,64.95,Pradeep Kumar Chaudhary,,BJP,127026.0,48.94,Haji Yunus,,RLD,101426.0,38.99,25600.0
Bulandshahr,66.0,Syana,65.37,Devendra Singh Lodhi,,BJP,149125.0,58.9,Dilnawaj Khan,,RLD,59468.0,23.49,89657.0
Bulandshahr,67.0,Anupshahr,62.87,Sanjay Kumar Sharma,,BJP,125602.0,52.64,Rameshwar Lodhi,,BSP,47979.0,20.11,77623.0
Bulandshahr,68.0,Debai,63.02,Chandrapal Singh,,BJP,128640.0,58.6,Harish Kumar[118],,SP,60615.0,27.61,68025.0
Bulandshahr,69.0,Shikarpur,64.18,Anil Sharma,,BJP,113855.0,53.04,Kiran Pal Singh,,RLD,58172.0,27.1,55683.0
Bulandshahr,70.0,Khurja (SC),66.64,Meenakshi Singh,,BJP,137461.0,52.99,Banshi Singh,,SP,70377.0,27.13,67084.0
Aligarh,71.0,Khair (SC),61.7,Anoop Pradhan,,BJP,139643.0,55.55,Charu Kain,,BSP,65302.0,25.98,74341.0
Aligarh,72.0,Barauli,64.28,Thakur Jaivir Singh,,BJP,147984.0,60.57,Narendra Kumar Sharma,,BSP,57339.0,23.47,90645.0
Aligarh,73.0,Atrauli,60.02,Sandeep Kumar Singh,,BJP,125691.0,52.03,Viresh Yadav,,SP,86367.0,35.75,39324.0
Aligarh,74.0,Chharra,62.79,Ravendra Pal Singh,,BJP,110928.0,45.79,Laxmi Dhangar,,SP,86966.0,35.78,24327.0
Aligarh,75.0,Koil,62.34,Anil Parashar,,BJP,108067.0,42.81,Shaaz Ishaaq,,SP,103039.0,40.82,5028.0
Aligarh,76.0,Aligarh,63.89,Mukta Raja,,BJP,120389.0,47.66,Zafar Alam,,SP,107603.0,42.6,12786.0
Aligarh,77.0,Iglas (SC),61.25,Rajkumar Sahyogi,,BJP,127209.0,52.35,Birpal Diwakar,,RLD,68046.0,28.0,59163.0
Hathras,78.0,Hathras (SC),63.2,Anjula Singh Mahaur,,BJP,154655.0,58.79,Sanjeev Kumar,,BSP,53799.0,20.45,100856.0
Hathras,79.0,Sadabad,64.32,Pradeep Kumar Singh,,RLD,104874.0,43.25,Ramveer Upadhyay,,BJP,98437.0,40.6,6437.0
Hathras,80.0,Sikandra Rao,62.39,Birendra Singh Rana,,BJP,98094.0,41.63,Lalit Pratap Baghel,,SP,89990.0,38.19,8104.0
Mathura,81.0,Chhata,65.34,Ch. Laxmi Narayan Singh,,BJP,124414.0,52.18,Tejpal Singh,,RLD,75466.0,31.65,48948.0
Mathura,82.0,Mant,64.89,Rajesh Chaudhary,,BJP,83958.0,37.35,Shyam Sundar Sharma,,BSP,74378.0,33.09,9580.0
Mathura,83.0,Goverdhan,66.31,Karinda Singh,,BJP,100199.0,45.21,Rajkumar Rawat,,BSP,57692.0,26.03,42507.0
Mathura,84.0,Mathura,57.39,Shrikant Sharma,,BJP,158859.0,60.26,Pradeep Mathur,,INC,49056.0,18.61,109803.0
Mathura,85.0,Baldev (SC),65.15,Pooran Prakash,,BJP,108414.0,44.14,Babita Devi,,RLD,83159.0,33.86,25255.0
Agra,86.0,Etmadpur,67.57,Dharampal Singh,,BJP,146603.0,48.77,Praval Pratap Singh,,BSP,98679.0,32.83,47924.0
Agra,87.0,Agra Cantonment (SC),53.9,G S Dharmesh,,BJP,117796.0,46.78,Kunwar Chand,,SP,69099.0,27.44,48697.0
Agra,88.0,Agra South,56.75,Yogendra Upadhyaya,,BJP,109262.0,52.39,Vinay Agarwal,,SP,52622.0,25.23,56640.0
Agra,89.0,Agra North,55.27,Purushottam Khandelwal,,BJP,153817.0,63.89,Shabbir Abbas,,BSP,41447.0,17.22,112370.0
Agra,90.0,Agra Rural (SC),60.98,Baby Rani Maurya,,BJP,137310.0,52.63,Kiran Prabha Keshari,,BSP,60702.0,23.26,76608.0
Agra,91.0,Fatehpur Sikri,67.67,Babulal Chaudhary,,BJP,112095.0,46.14,Brijesh Chahar,,RLD,64826.0,26.69,47269.0
Agra,92.0,Kheragarh,62.45,Bhagwan Singh Kushwaha,,BJP,96574.0,47.05,Ramnath Shikarwar,,INC,60077.0,29.27,36497.0
Agra,93.0,Fatehabad,66.86,Chotelal Verma,,BJP,108811.0,50.46,Rupali Dixit,,SP,55576.0,25.77,53235.0
Agra,94.0,Bah,56.91,Rani Pakshalika Singh,,BJP,78360.0,41.16,Madhusudan Sharma,,SP,54125.0,28.43,24235.0
Firozabad,95.0,Tundla (SC),66.65,Prempal Singh Dhangar,,BJP,122881.0,49.46,Rakesh Babu,,SP,75190.0,30.26,47691.0
Firozabad,96.0,Jasrana,67.46,Sachin Yadav,,SP,108289.0,43.71,Manvendra Lodhi,,BJP,107453.0,43.37,836.0
Firozabad,97.0,Firozabad,58.91,Manish Asiza,,BJP,112509.0,43.43,Saifur Rehman,,SP,79554.0,30.71,32955.0
Firozabad,98.0,Shikohabad,65.81,Mukesh Verma,,SP,106279.0,45.14,Omprakash Verma,,BJP,96951.0,41.18,9328.0
Firozabad,99.0,Sirsaganj,64.8,Sarvesh Singh Yadav,,SP,96224.0,46.22,Hariom Yadav,,BJP,87419.0,41.99,8805.0
Kasganj,100.0,Kasganj,64.37,Devendra Singh,,BJP,123410.0,52.67,Man Pal Singh,,SP,77145.0,32.92,46265.0
Kasganj,101.0,Amanpur,61.52,Hariom Verma,,BJP,96377.0,50.4,Satybhan Shakya,,SP,53048.0,27.74,43329.0
Kasganj,102.0,Patiyali,61.11,Nadira Sultan,,SP,91545.0,41.88,Mamtesh Shakya,,BJP,87957.0,40.06,4001.0
Etah,103.0,Aliganj,66.15,Satyapal Singh Rathore,,BJP,102873.0,45.44,Rameshwar Singh Yadav,,SP,99063.0,43.76,3810.0
Etah,104.0,Etah,62.35,Vipin Kumar David,,BJP,97539.0,46.34,Jugendra Singh Yadav,,SP,80292.0,38.15,17247.0
Etah,105.0,Marhara,66.76,Virendra Singh Lodhi,,BJP,101387.0,49.01,Amit Gaurav,,SP,83778.0,40.5,17609.0
Etah,106.0,Jalesar,68.09,Sanjeev Kumar Diwakar,,BJP,91339.0,45.1,Ranjeet Suman,,SP,86898.0,42.91,4441.0
Mainpuri,107.0,Mainpuri,61.85,Jaiveer Singh,,BJP,99814.0,46.73,Raj Kumar,,SP,93048.0,43.56,6766.0
Mainpuri,108.0,Bhongaon,62.62,Ram Naresh Agnihotri,,BJP,97208.0,45.18,Alok Shakya,,SP,92441.0,42.97,4767.0
Mainpuri,109.0,Kishni (SC),62.98,Brajesh Katheriya,,SP,97070.0,49.58,Priya Ranjan Ashu Diwakar,,BJP,77919.0,39.8,19151.0
Mainpuri,110.0,Karhal,66.02,Akhilesh Yadav,,SP,148196.0,60.12,S.P. Singh Baghel,,BJP,80692.0,32.74,67504.0
Sambhal,111.0,Gunnaur,58.68,Ramkhiladi Singh Yadav,,SP,123969.0,51.38,Ajeet Kumar Yadav,,BJP,94440.0,39.14,29529.0
Budaun,112.0,Bisauli (SC),59.34,Ashutosh Maurya,,SP,110569.0,44.23,Kushagra Sagar,,BJP,108735.0,43.5,1834.0
Budaun,113.0,Sahaswan,58.86,Brajesh Yadav,,SP,83673.0,33.35,Haji Vittan Musarrat,,BSP,69728.0,27.79,13945.0
Budaun,114.0,Bilsi,57.8,Harish Chandra Shakya,,BJP,93500.0,45.54,Chandra Prakash Maurya,,SP,68385.0,33.31,25115.0
