Constituency number,Constituency name,Reserved for (SC/STNone),Electors [6],District[7],Lok Sabha constituency
1.0,Behat,,372305.0,Saharanpur,Saharanpur
2.0,Nakur,,355632.0,Saharanpur,Kairana
3.0,Saharanpur Nagar,,443592.0,Saharanpur,Saharanpur
4.0,Saharanpur,,359546.0,Saharanpur,Saharanpur
5.0,Deoband,,348944.0,Saharanpur,Saharanpur
6.0,Rampur Maniharan,SC,323830.0,Saharanpur,Saharanpur
7.0,Gangoh,,386148.0,Saharanpur,Kairana
8.0,Kairana,,322423.0,Shamli,Kairana
9.0,Thana Bhawan,,326817.0,Shamli,Kairana
10.0,Shamli,,311974.0,Shamli,Kairana
11.0,Budhana,,377680.0,Muzaffarnagar,Muzaffarnagar
12.0,Charthawal,,331171.0,Muzaffarnagar,Muzaffarnagar
13.0,Purqazi,SC,329110.0,Muzaffarnagar,Bijnor
14.0,Muzaffarnagar,,358658.0,Muzaffarnagar,Muzaffarnagar
15.0,Khatauli,,318047.0,Muzaffarnagar,Muzaffarnagar
16.0,Meerapur,,314587.0,Muzaffarnagar,Bijnor
17.0,Najibabad,,346687.0,Bijnor,Nagina
18.0,Nagina,SC,346910.0,Bijnor,Nagina
19.0,Barhapur,,359056.0,Bijnor,Moradabad
20.0,Dhampur,,302357.0,Bijnor,Nagina
21.0,Nehtaur,SC,303720.0,Bijnor,Nagina
22.0,Bijnor,,390546.0,Bijnor,Bijnor
23.0,Chandpur,,325858.0,Bijnor,Bijnor
24.0,Noorpur,,324486.0,Bijnor,Nagina
25.0,Kanth,,390562.0,Moradabad,Moradabad
26.0,Thakurdwara,,372490.0,Moradabad,Moradabad
27.0,Moradabad Rural,,389729.0,Moradabad,Moradabad
28.0,Moradabad Nagar,,529243.0,Moradabad,Moradabad
29.0,Kundarki,,380673.0,Moradabad,Sambhal
30.0,Bilari[a],,359209.0,Moradabad,Sambhal
31.0,Chandausi,SC,383406.0,Sambhal,Sambhal
32.0,Asmoli,,379352.0,Sambhal,Sambhal
33.0,Sambhal,,379786.0,Sambhal,Sambhal
34.0,Suar,,307421.0,Rampur,Rampur
35.0,Chamraua,,307984.0,Rampur,Rampur
36.0,Bilaspur,,345202.0,Rampur,Rampur
37.0,Rampur,,388175.0,Rampur,Rampur
38.0,Milak,SC,357452.0,Rampur,Rampur
39.0,Dhanaura,SC,346449.0,Amroha,Amroha
40.0,Naugawan Sadat,,328672.0,Amroha,Amroha
41.0,Amroha,,313755.0,Amroha,Amroha
42.0,Hasanpur,,364215.0,Amroha,Amroha
43.0,Siwalkhas,,339738.0,Meerut,Bagpat
44.0,Sardhana,,361816.0,Meerut,Muzaffarnagar
45.0,Hastinapur,SC,344527.0,Meerut,Bijnor
46.0,Kithore,,365516.0,Meerut,Meerut
47.0,Meerut Cantt.,,430144.0,Meerut,Meerut
48.0,Meerut,,312368.0,Meerut,Meerut
49.0,Meerut South,,481365.0,Meerut,Meerut
50.0,Chhaprauli,,337033.0,Bagpat,Bagpat
51.0,Baraut,,304200.0,Bagpat,Bagpat
52.0,Bagpat,,316266.0,Bagpat,Bagpat
53.0,Loni,,513114.0,Ghaziabad,Ghaziabad
54.0,Muradnagar,,457759.0,Ghaziabad,Ghaziabad
55.0,Sahibabad,,1020386.0,Ghaziabad,Ghaziabad
56.0,Ghaziabad,,473009.0,Ghaziabad,Ghaziabad
57.0,Modinagar,,332327.0,Ghaziabad,Bagpat
58.0,Dhaulana[b],,413156.0,Hapur,Ghaziabad
59.0,Hapur,SC,368481.0,Hapur,Meerut
60.0,Garhmukteshwar,,348800.0,Hapur,Amroha
61.0,Noida,,714072.0,Gautam Budh Nagar,Gautam Buddha Nagar
62.0,Dadri,,606316.0,Gautam Budh Nagar,Gautam Buddha Nagar
63.0,Jewar,,352164.0,Gautam Budh Nagar,Gautam Buddha Nagar
64.0,Sikandrabad,,399747.0,Bulandshahr,Gautam Buddha Nagar
65.0,Bulandshahr,,399775.0,Bulandshahr,Bulandshahr
66.0,Syana,,387326.0,Bulandshahr,Bulandshahr
67.0,Anupshahr,,379496.0,Bulandshahr,Bulandshahr
68.0,Debai,,348309.0,Bulandshahr,Bulandshahr
69.0,Shikarpur,,334480.0,Bulandshahr,Bulandshahr
70.0,Khurja,SC,389211.0,Bulandshahr,Gautam Buddha Nagar
71.0,Khair,SC,407399.0,Aligarh,Aligarh
72.0,Barauli,,380035.0,Aligarh,Aligarh
73.0,Atrauli,,402493.0,Aligarh,Aligarh
74.0,Chharra,,387108.0,Aligarh,Hathras
75.0,Koil,,404885.0,Aligarh,Aligarh
76.0,Aligarh,,395352.0,Aligarh,Aligarh
77.0,Iglas,SC,396755.0,Aligarh,Hathras
78.0,Hathras,SC,416253.0,Hathras,Hathras
79.0,Sadabad,,376981.0,Hathras,Hathras
80.0,Sikandra Rao,,377684.0,Hathras,Hathras
81.0,Chhata,,364870.0,Mathura,Mathura
82.0,Mant,,346386.0,Mathura,Mathura
83.0,Goverdhan,,334234.0,Mathura,Mathura
84.0,Mathura,,459369.0,Mathura,Mathura
85.0,Baldev,SC,376964.0,Mathura,Mathura
86.0,Etmadpur,,444849.0,Agra,Agra
